frame_id,page_name,owner_iteration
S00_HOME,首页,01
S01_PROJECTS,项目列表,02
S01_CREATE_PROJECT,新建项目,02
S02_PROJECT_OVERVIEW,项目概览,02
S02_PROJECT_PLANNING,项目策划,03
S02_PROJECT_MATERIALS,项目素材列表,03
S02_CREATE_MATERIAL,新建并绑定素材,03
S02_MATERIAL_DETAIL,素材详情,03
S02_PICK_MATERIAL,选择已有素材,03
S02_EDIT_MATERIAL,编辑素材,03
S02_EDIT_MATERIAL_USAGE,编辑项目用途,03
S02_UNBIND_MATERIAL,解除素材绑定,03
B1_STORYLINES,故事线工作区,04
B2_CREATE_MAIN_STORYLINE,新建主线,04
B3_CREATE_CHILD_STORYLINE,新建子故事线,04
B4_CREATE_FORESHADOWING,新增伏笔,04
C1_CHAPTER_PLANNING,章节规划,05
C2_MOCK_PLAN,模拟生成章节规划,05
C3_EDIT_PLAN,编辑章节规划,05
C4_CONFIRM_PLAN,确认章节规划,05
D1_EDITOR,正文编辑器,06
D2_REVIEW,审核结果,06
D3_PROJECT_WORKS,项目作品,07
D4_CREATE_REWRITE,创建重写版本,07
D5_REWRITE_RESULT,重写结果,07
E1_GLOBAL_MATERIALS,全局素材,08
E2_GLOBAL_WORKS,全局作品,08
E3_WORKFLOWS,流程中心,08
E4_SETTINGS,全局设置,08
